,Image,F1,Jaccard,Recall,Precision
115,1344.png,0.939443535188216,0.8858024691358025,0.9318181818181818,0.9471947194719472
116,2137.png,0.8211120064464142,0.696514012303486,0.8731790916880892,0.7749049429657795
117,2072.png,0.7534643893006767,0.6044467425025853,0.9645214521452146,0.6181914331041777
118,1137.png,0.9168241965973534,0.8464223385689355,0.855379188712522,0.9877800407331976
119,1906.png,0.9493509798931025,0.9035852713178295,0.9703433922996878,0.9292476332835077
120,1495.png,0.9544924154025671,0.9129464285714286,0.960093896713615,0.9489559164733179
121,694.png,0.8708081363386475,0.7711781888997079,0.9020501138952164,0.8416578108395324
122,336.png,0.9684115523465704,0.9387576552930884,0.9529307282415631,0.9844036697247707
123,1560.png,0.9229144667370645,0.8568627450980392,0.9820224719101124,0.8705179282868526
124,1546.png,0.9500741473059812,0.9048964218455744,0.994824016563147,0.9091769157994324
125,1969.png,0.7796610169491525,0.6388888888888888,0.9964871194379391,0.6403310759969902
126,2459.png,0.9607028753993611,0.9243774976944359,0.9659492451011885,0.9555131871623769
127,587.png,0.9741800418702022,0.9496598639455782,0.9707927677329624,0.9775910364145658
128,2662.png,0.7320981472208312,0.5774091627172195,0.5833998403830806,0.9825268817204301
129,2930.png,0.7557427258805514,0.6073846153846154,0.9989878542510121,0.6077586206896551
130,943.png,0.956195244055069,0.9160671462829736,0.9271844660194175,0.9870801033591732
131,1794.png,0.9184290030211479,0.8491620111731844,0.8587570621468926,0.987012987012987
132,3043.png,0.3903281519861831,0.24248927038626608,1.0,0.24248927038626608
133,2380.png,0.9425590915093095,0.8913586413586414,0.9181888345767945,0.9682582745523602
134,126.png,0.9478991596638655,0.9009584664536742,0.9791666666666666,0.9185667752442996
135,1147.png,0.9146341463414634,0.8426966292134831,0.989010989010989,0.8506616257088847
136,1883.png,0.8517745302713986,0.7418181818181818,0.7546239210850801,0.9776357827476039
137,2176.png,0.8523614726664187,0.7427090084251459,0.9002356637863315,0.809322033898305
138,2304.png,0.819760710150521,0.6945716154349247,0.6973079448456992,0.9943820224719101
139,369.png,0.9123649459783915,0.8388520971302428,0.852017937219731,0.9819121447028424
140,2228.png,0.26303854875283444,0.1514360313315927,0.15466666666666667,0.8787878787878788
141,2114.png,0.9422028353326064,0.8907216494845361,0.9766390354182366,0.9101123595505618
142,451.png,0.9485834207764953,0.9021956087824351,0.904,0.9977924944812362
143,1916.png,0.7225130890052355,0.5655737704918032,0.5655737704918032,1.0
144,2349.png,0.047058823529411764,0.024096385542168676,0.024096385542168676,1.0
145,2530.png,0.37547892720306514,0.23113207547169812,0.43439716312056736,0.33063427800269907
146,1419.png,0.9485179407176286,0.9020771513353115,0.990228013029316,0.9101796407185628
147,86.png,0.9159322033898305,0.8449030644152595,0.9775687409551375,0.8616071428571429
148,2725.png,0.8775213142025369,0.7817710263060392,0.9407044137316094,0.8222915042868277
149,1013.png,0.8983606557377048,0.8154761904761905,0.9133333333333333,0.8838709677419355
150,777.png,0.791983413959917,0.6556064073226545,0.8939157566302652,0.7109181141439206
151,2995.png,0.7356675644478645,0.5818624467437614,0.7913907284768212,0.6872753414809489
